ID,Source,Target,Type,Description
96,118.0,76.0,Normal,#2052(M)-NOAH-SAVES-ELISABETH
97,293.0,294.0,Normal,
99,295.0,296.0,Normal,
100,296.0,297.0,Normal,
101,297.0,298.0,Normal,
102,117.0,77.0,Succesfull Time Travel,#2052(M)-EGON-SAVES-HANNAH
103,115.0,78.0,Succesfull Time Travel,#2052(M)-BARTOSZ-SAVES-BARTOSZ
104,78.0,280.0,World Swap,#2019(M)-BARTOSZ-SAVES-MARTHA
105,79.0,281.0,World Swap,#2019(M)-SAVING-JONAS
106,298.0,127.0,Succesfull Time Travel,#1888(J)-MARTHA-ESCAPES
107,289.0,299.0,Normal,
108,299.0,300.0,Normal,
109,299.0,301.0,Normal,
110,301.0,302.0,Normal,
111,88.0,89.0,dashed arrow,
112,89.0,90.0,dashed arrow,
113,90.0,91.0,dashed arrow,
114,91.0,92.0,Normal,
115,92.0,93.0,Normal,
116,534.0,92.0,World Swap,#1954(J)-TRIO-MISSION-COMPLETE
117,298.0,303.0,Normal,
118,93.0,358.0,World Swap,#1920(M)-NOTEBOOK-FINISHED
119,51.0,88.0,Succesfull Time Travel,
120,91.0,52.0,Succesfull Time Travel,
121,125.0,94.0,Succesfull Time Travel,#2052(M)-MARTHA-CHOOSES-LIGHT-SIDE
122,94.0,95.0,Normal,
123,97.0,96.0,dashed arrow,
124,96.0,95.0,dashed arrow,
125,95.0,98.0,dashed arrow,
126,98.0,99.0,Normal,
127,99.0,119.0,Succesfull Time Travel,#1920-MARTHAS-TRAVEL
128,64.0,97.0,Succesfull Time Travel,
129,100.0,101.0,dashed arrow,
131,102.0,103.0,dashed arrow,
132,103.0,104.0,dashed arrow,
133,104.0,105.0,dashed arrow,
134,103.0,106.0,Normal,
135,58.0,100.0,Succesfull Time Travel,
137,107.0,108.0,Normal,
138,108.0,109.0,Normal,
139,109.0,110.0,Normal,
140,110.0,111.0,Normal,
141,111.0,112.0,Normal,
144,113.0,115.0,Normal,
146,113.0,117.0,Normal,
147,113.0,118.0,Normal,
148,120.0,121.0,Normal,
149,121.0,122.0,Normal,
150,122.0,123.0,Normal,
151,123.0,124.0,Normal,
152,124.0,125.0,Normal,
153,303.0,304.0,Normal,
154,304.0,305.0,Normal,
155,304.0,306.0,Normal,
158,306.0,307.0,Normal,
159,307.0,308.0,Normal,
160,308.0,310.0,Normal,
161,308.0,309.0,Normal,
162,311.0,309.0,Normal,
163,140.0,311.0,Succesfull Time Travel,#2053-SILJA-BARTOSZ
164,309.0,312.0,Normal,
165,312.0,313.0,Normal,
166,310.0,315.0,Normal,
167,314.0,315.0,Normal,
168,540.0,314.0,Succesfull Time Travel,#1954-HANNAH-TRAVELS-AGAIN
169,315.0,316.0,Normal,
170,316.0,317.0,Normal,
171,387.0,318.0,Normal,#2041-NOAH-LOOK-FOR-CHARLOTTE
172,318.0,319.0,Normal,
173,319.0,320.0,Normal,
174,320.0,321.0,Succesfull Time Travel,
175,323.0,324.0,Normal,
176,324.0,325.0,Normal,
177,325.0,326.0,Normal,
178,323.0,390.0,Normal,#1921-SIC-MUNDUS-BUILD-THE-PASSAGE
179,327.0,328.0,Normal,
180,328.0,252.0,Succesfull Time Travel,#1921-NOAH-TRUTH-CHARLOTTE
182,107.0,80.0,Succesfull Time Travel,
183,116.0,355.0,World Swap,#2052(M)-CLAUDIA-VISITS-CLAUDIA
184,,126.0,Inconclusive,#1987(J)-UNKNOWN-STEAL-BLUEPRINTS
185,126.0,508.0,World Swap,#2020(M)-CLAUDIA-BLUEPRINTS
186,173.0,329.0,Normal,#2019-MARTHA-MEDALLION
187,161.0,330.0,Succesfull Time Travel,#2053-JONAS-GOD-PARTICLE
188,330.0,331.0,Normal,
189,331.0,332.0,Normal,
190,332.0,333.0,Normal,
191,333.0,334.0,Normal,
192,334.0,335.0,Normal,
193,335.0,336.0,Normal,
194,336.0,337.0,Normal,
195,337.0,338.0,Normal,
197,323.0,334.0,Normal,
198,252.0,339.0,Succesfull Time Travel,#2020-NOAH-TRUTH-CHARLOTTE
199,339.0,340.0,Normal,
200,339.0,341.0,Normal,
201,341.0,342.0,Normal,
202,342.0,343.0,Normal,
203,343.0,344.0,Normal,
204,344.0,345.0,Normal,
205,479.0,479.0,Normal,
206,388.0,389.0,Normal,
207,388.0,390.0,Normal,
208,390.0,391.0,Normal,
209,392.0,393.0,Normal,
210,393.0,394.0,Normal,
211,391.0,394.0,Normal,
212,513.0,391.0,Normal,#1954-NOAH-HELGE-RELATIONSHIP
213,397.0,398.0,Normal,
214,398.0,399.0,Normal,
215,388.0,399.0,Normal,#1986-PLANT-EXPLOSION
216,400.0,402.0,Normal,
217,401.0,402.0,Normal,
218,399.0,403.0,Normal,
219,404.0,405.0,Normal,
220,402.0,406.0,Normal,
221,406.0,407.0,Normal,
222,410.0,409.0,Failed Time Travel,
223,405.0,412.0,Normal,
224,407.0,413.0,Normal,
225,413.0,175.0,Normal,#1986-MIKKEL-BECOME-MICHAEL
226,411.0,414.0,Normal,
227,408.0,415.0,Normal,
228,414.0,415.0,Normal,
229,415.0,416.0,Normal,
230,415.0,418.0,Normal,
231,412.0,419.0,Normal,
232,412.0,420.0,Normal,
233,419.0,421.0,Normal,
234,420.0,421.0,Normal,
235,403.0,422.0,Normal,
236,421.0,422.0,Normal,
237,422.0,193.0,Normal,#1986-BORIS-WELDS-THE-DOOR
238,423.0,222.0,Normal,#1986-BORIS-WELDS-THE-DOOR
239,423.0,421.0,Normal,
240,423.0,424.0,Normal,
241,424.0,425.0,Normal,
242,426.0,427.0,Normal,
243,501.0,428.0,Succesfull Time Travel,#1953-GRETCHEN-CAVES
244,427.0,429.0,Normal,
245,439.0,436.0,Same Event,
246,436.0,440.0,Same Event,
247,440.0,441.0,Same Event,
248,429.0,430.0,Normal,
249,431.0,434.0,Normal,
250,432.0,433.0,Normal,
251,433.0,434.0,Normal,
252,434.0,435.0,Normal,
253,435.0,436.0,Normal,
254,436.0,437.0,Normal,
255,438.0,452.0,Normal,#1986-HELGE-PORTAL
256,430.0,445.0,Normal,
257,445.0,446.0,Normal,
258,154.0,443.0,Succesfull Time Travel,#2052-CLAUDIA-JONAS-CAVES
259,443.0,444.0,Normal,
260,444.0,519.0,Succesfull Time Travel,
261,519.0,447.0,Normal,
262,444.0,447.0,Normal,
263,447.0,448.0,Normal,
264,518.0,448.0,Normal,
265,448.0,449.0,Normal,
266,449.0,450.0,Normal,
267,446.0,451.0,Normal,
268,452.0,514.0,Succesfull Time Travel,
270,453.0,454.0,Normal,
271,454.0,455.0,Normal,
272,455.0,456.0,Succesfull Time Travel,
273,449.0,457.0,Normal,
274,456.0,457.0,Normal,
275,451.0,458.0,Normal,
276,458.0,459.0,Normal,
277,459.0,477.0,Normal,#1987-INES-MIKKEL-PROTECTIVE-SERVICE
278,459.0,486.0,Normal,#1987-INES-MIKKEL-PROTECTIVE-SERVICE
279,459.0,460.0,Normal,
280,460.0,461.0,Normal,
281,460.0,462.0,Normal,
282,457.0,463.0,Normal,
283,463.0,464.0,Normal,
284,521.0,464.0,Normal,
285,464.0,465.0,Normal,
286,465.0,466.0,Normal,
287,154.0,466.0,Succesfull Time Travel,#2052-CLAUDIA-JONAS-CAVES
288,466.0,467.0,Normal,
289,467.0,468.0,Normal,
290,468.0,469.0,Normal,
291,468.0,265.0,Normal,#1987-CLAUDIA-JONAS-REOPEN-PORTAL
292,470.0,471.0,Normal,
293,471.0,472.0,Normal,
294,472.0,302.0,Succesfull Time Travel,
296,265.0,477.0,Succesfull Time Travel,#2020-KHATARINA-ENTERS-PORTAL
297,477.0,478.0,Normal,
298,478.0,473.0,Normal,
299,473.0,474.0,Normal,
300,474.0,475.0,Normal,
301,475.0,476.0,Normal,
302,36.0,479.0,Normal,#1986-MADS-GOES-MISSING
303,479.0,480.0,Normal,
304,476.0,481.0,Normal,
305,481.0,482.0,Normal,
306,482.0,483.0,Normal,
307,483.0,484.0,Normal,
308,483.0,485.0,Normal,
309,545.0,487.0,Normal,
310,487.0,488.0,Normal,
311,488.0,489.0,Normal,
313,345.0,346.0,Normal,
315,273.0,349.0,Normal,#2020-BUNKER-SURVIVORS
316,346.0,347.0,Normal,
317,347.0,348.0,Normal,
318,345.0,349.0,Normal,
319,349.0,350.0,Normal,
320,351.0,352.0,Normal,
321,352.0,353.0,Normal,
322,350.0,353.0,Normal,
323,353.0,354.0,Normal,
324,354.0,355.0,Normal,
325,355.0,356.0,Normal,
326,356.0,357.0,Normal,
327,357.0,358.0,Normal,
328,358.0,359.0,Normal,
329,358.0,360.0,Normal,
330,359.0,,Inconclusive,#2020(J)-CLAUDIA-LEAVES
332,347.0,362.0,Normal,
333,361.0,362.0,Normal,
334,362.0,363.0,Normal,
335,363.0,364.0,Normal,
336,360.0,365.0,Normal,
337,365.0,366.0,Normal,
338,282.0,366.0,Normal,#2020-JONAS-APOCALYPSE
339,366.0,367.0,Normal,
340,367.0,368.0,Normal,
341,364.0,369.0,Normal,
342,369.0,370.0,Normal,
343,368.0,371.0,Normal,
344,371.0,372.0,Normal,
345,372.0,373.0,Normal,
346,370.0,373.0,Normal,
347,373.0,374.0,Normal,
348,374.0,375.0,Normal,
349,375.0,376.0,Normal,
350,376.0,377.0,Normal,
351,377.0,378.0,Normal,
352,378.0,379.0,Normal,
353,379.0,380.0,Normal,
354,380.0,381.0,Normal,
355,381.0,126.0,World Swap,
356,383.0,541.0,Succesfull Time Travel,
357,377.0,384.0,Normal,
359,383.0,384.0,Normal,
360,384.0,385.0,Normal,
361,385.0,386.0,Normal,
362,385.0,387.0,Normal,
363,386.0,387.0,Normal,
364,418.0,442.0,Succesfull Time Travel,
365,442.0,431.0,Succesfull Time Travel,
366,198.0,442.0,Normal,#2019-BARRELS-INTO-TRUCK
367,199.0,221.0,Normal,#2019-BARRELS-INTO-TRUCK
368,127.0,128.0,Normal,
369,128.0,129.0,Normal,
370,128.0,130.0,Normal,
371,130.0,131.0,Normal,
372,131.0,,Inconclusive,#2053-AGNES-GOD-PARTICLE
373,130.0,132.0,Normal,
374,132.0,133.0,Normal,
375,133.0,382.0,Succesfull Time Travel,#2053-CHARLOTTE-ELISABETH-GOD-PARTICLE
376,127.0,134.0,Normal,
377,134.0,135.0,Normal,
378,135.0,136.0,Normal,
379,136.0,137.0,Normal,
380,137.0,138.0,Normal,
381,138.0,139.0,Normal,
382,138.0,140.0,Normal,
383,138.0,141.0,Normal,
384,141.0,142.0,Normal,
385,142.0,143.0,Normal,
386,143.0,144.0,Normal,
387,144.0,145.0,Normal,
388,145.0,146.0,Normal,
389,146.0,147.0,Normal,
390,147.0,148.0,Normal,
391,148.0,149.0,Normal,
392,149.0,150.0,Normal,
393,150.0,151.0,Normal,
394,151.0,32.0,Normal,
395,152.0,153.0,Normal,
396,387.0,152.0,Succesfull Time Travel,#2041-TIME-TRAVEL-PORTAL-BUILT
397,152.0,218.0,Succesfull Time Travel,#2052-STRANGER-BEGINNING
398,155.0,156.0,Normal,
399,156.0,157.0,Normal,
400,157.0,158.0,Normal,
401,158.0,159.0,Normal,
402,159.0,160.0,Normal,
403,160.0,161.0,Normal,
404,157.0,161.0,Normal,
405,162.0,158.0,Normal,
406,160.0,163.0,Normal,
407,163.0,164.0,Normal,
408,164.0,165.0,Normal,
409,165.0,166.0,Normal,
410,166.0,167.0,Normal,
411,167.0,168.0,Normal,
412,169.0,168.0,Normal,
413,,169.0,Inconclusive,#1921-SIC-MUNDUS-GROUP
414,171.0,172.0,Normal,
415,172.0,173.0,Normal,
416,484.0,172.0,Normal,#1987-SAINT-CHRISTOPHER-LAKE
417,174.0,175.0,Normal,
418,175.0,176.0,Normal,
419,176.0,177.0,Normal,
420,216.0,185.0,Normal,#2019-JONAS-SUICIDE-NOTE
421,216.0,175.0,Normal,#2019-JONAS-SUICIDE-NOTE
422,153.0,176.0,Succesfull Time Travel,
423,177.0,154.0,Succesfull Time Travel,
424,176.0,178.0,Normal,
425,178.0,179.0,Normal,
426,179.0,180.0,Normal,
428,181.0,182.0,Normal,
429,182.0,183.0,Normal,
430,183.0,401.0,Succesfull Time Travel,
431,183.0,184.0,Normal,
432,184.0,185.0,Normal,
433,185.0,186.0,Normal,
434,186.0,187.0,Normal,
435,187.0,411.0,Succesfull Time Travel,
436,188.0,189.0,Normal,
437,391.0,189.0,Normal,
438,189.0,396.0,Succesfull Time Travel,
439,189.0,182.0,Normal,
440,395.0,190.0,Failed Time Travel,
441,190.0,191.0,Normal,
442,191.0,192.0,Normal,
443,192.0,193.0,Normal,
444,193.0,194.0,Normal,
445,194.0,195.0,Normal,
446,195.0,196.0,Normal,
447,188.0,196.0,Normal,
448,183.0,197.0,Normal,
449,197.0,198.0,Normal,
450,198.0,194.0,Normal,
451,396.0,492.0,Failed Time Travel,
452,409.0,494.0,Failed Time Travel,
453,492.0,493.0,Normal,
454,494.0,493.0,Normal,
455,493.0,495.0,Normal,
456,496.0,495.0,Normal,
457,496.0,497.0,Normal,
458,498.0,497.0,Normal,
459,497.0,499.0,Normal,
460,499.0,500.0,Normal,
462,495.0,502.0,Normal,
464,503.0,504.0,Normal,
465,504.0,505.0,Normal,
466,504.0,506.0,Normal,
467,505.0,507.0,Normal,#1953-ULRICH-ARRESTED
468,493.0,505.0,Normal,
470,506.0,509.0,Normal,
471,439.0,509.0,Normal,
472,509.0,438.0,Succesfull Time Travel,
473,326.0,510.0,Succesfull Time Travel,
474,499.0,511.0,Normal,
475,511.0,512.0,Normal,
476,510.0,513.0,Normal,
477,514.0,513.0,Normal,
478,513.0,515.0,Normal,
479,515.0,516.0,Normal,
480,516.0,517.0,Normal,
482,518.0,516.0,Normal,
483,519.0,520.0,Normal,
484,520.0,518.0,Normal,
485,520.0,515.0,Normal,
486,517.0,327.0,Succesfull Time Travel,
487,516.0,521.0,Normal,
488,512.0,522.0,Normal,
489,523.0,524.0,Normal,
490,524.0,525.0,Normal,
491,525.0,522.0,Normal,
492,255.0,523.0,Normal,#2020-HANNAH-STEALS-MACHINE
494,525.0,446.0,Normal,#1953-ULRICH-PSYCH-WARD
495,522.0,526.0,Normal,
496,511.0,527.0,Normal,
497,527.0,528.0,Normal,
498,528.0,529.0,Normal,
499,528.0,530.0,Normal,
500,531.0,532.0,Normal,
501,532.0,533.0,Normal,
502,531.0,530.0,Normal,
503,302.0,531.0,Succesfull Time Travel,
504,530.0,534.0,Normal,
505,530.0,537.0,Normal,
506,526.0,535.0,Normal,
507,535.0,536.0,Normal,
508,536.0,537.0,Normal,
509,536.0,538.0,Normal,
510,538.0,539.0,Normal,
511,539.0,540.0,Normal,
512,539.0,475.0,Normal,#1954-ST-CHRISTOPHER-TO-HELENE
513,541.0,542.0,Normal,
515,543.0,544.0,Normal,
516,546.0,545.0,Normal,
517,544.0,546.0,Normal,
518,197.0,192.0,Normal,
519,192.0,199.0,Normal,
520,199.0,200.0,Normal,
521,200.0,201.0,Normal,
522,201.0,202.0,Normal,
523,202.0,203.0,Normal,
524,203.0,204.0,Normal,
525,204.0,205.0,Normal,
526,205.0,206.0,Normal,
527,206.0,207.0,Normal,
528,204.0,209.0,Normal,
531,211.0,212.0,Normal,
532,212.0,213.0,Normal,
533,417.0,210.0,Normal,
534,416.0,214.0,Succesfull Time Travel,
535,213.0,496.0,Succesfull Time Travel,
536,212.0,426.0,Succesfull Time Travel,
537,214.0,215.0,Normal,
538,215.0,216.0,Normal,
539,216.0,217.0,Normal,
540,218.0,219.0,Normal,
541,219.0,229.0,Normal,#2019-STRANGER-SETTLES-IN-HOTEL
542,219.0,185.0,Normal,
543,219.0,408.0,Succesfull Time Travel,
546,221.0,222.0,Normal,
547,183.0,223.0,Normal,
548,223.0,224.0,Normal,
549,224.0,225.0,Normal,
550,225.0,226.0,Normal,
551,226.0,227.0,Normal,
552,178.0,228.0,Normal,
553,228.0,216.0,Normal,
554,217.0,432.0,Succesfull Time Travel,
555,437.0,155.0,Succesfull Time Travel,
556,388.0,198.0,Normal,#1986-PLANT-EXPLOSION
557,195.0,233.0,Normal,#2019-ULRICH-RESEARCH-FILES
558,230.0,231.0,Normal,
559,231.0,232.0,Succesfull Time Travel,
560,232.0,231.0,Succesfull Time Travel,
562,229.0,239.0,Normal,
564,237.0,238.0,Normal,
565,235.0,239.0,Normal,
566,239.0,240.0,Normal,
567,233.0,241.0,Normal,
568,234.0,241.0,Normal,
569,241.0,242.0,Normal,
570,231.0,243.0,Normal,
571,243.0,244.0,Normal,
572,240.0,244.0,Normal,
573,244.0,245.0,Normal,
574,245.0,246.0,Normal,
576,242.0,248.0,Normal,
577,248.0,461.0,Succesfull Time Travel,
578,461.0,248.0,Succesfull Time Travel,
579,244.0,249.0,Normal,
580,249.0,250.0,Normal,
581,248.0,250.0,Normal,
582,249.0,251.0,Normal,
583,252.0,253.0,Normal,
584,250.0,254.0,Normal,
585,251.0,255.0,Normal,
586,254.0,256.0,Normal,
587,246.0,256.0,Normal,
589,257.0,258.0,Normal,
590,258.0,259.0,Normal,
591,259.0,260.0,Normal,
592,260.0,261.0,Normal,
593,261.0,262.0,Normal,
594,238.0,260.0,Normal,
595,262.0,167.0,Same Event,
597,256.0,263.0,Normal,
598,263.0,264.0,Normal,
599,264.0,265.0,Normal,
600,263.0,266.0,Normal,
601,266.0,267.0,Normal,
602,267.0,286.0,Succesfull Time Travel,#2020-JONAS-MACHINE-1888
603,254.0,268.0,Normal,
604,268.0,269.0,Normal,
605,269.0,270.0,Normal,
606,253.0,270.0,Normal,
607,340.0,271.0,Succesfull Time Travel,
608,271.0,272.0,Normal,
610,272.0,266.0,Normal,
611,270.0,273.0,Normal,
612,469.0,274.0,Succesfull Time Travel,
613,274.0,275.0,Normal,
614,275.0,276.0,Normal,
615,276.0,273.0,Normal,
617,270.0,277.0,Normal,
618,277.0,279.0,Normal,
619,343.0,278.0,Succesfull Time Travel,
620,278.0,279.0,Normal,
621,280.0,281.0,Normal,
622,279.0,281.0,Normal,
623,281.0,282.0,Normal,Martha decides not to save Jonas
624,282.0,284.0,Normal,
625,281.0,283.0,dashed arrow,Martha decides to save Jonas
626,468.0,345.0,Normal,
627,261.0,345.0,Normal,
628,166.0,345.0,Normal,
